CMTE_ID,TRANSACTION_DT,TRANSACTION_AMT,Year,Date,Month
C00573758,12302018.0,50,2018,30,12
C00573758,12142018.0,2700,2018,14,12
C00495358,12032018.0,500,2018,03,12
C00495358,12162018.0,100,2018,16,12
C00495358,12202018.0,100,2018,20,12
C00438713,12102018.0,250,2018,10,12
C00438713,12202018.0,650,2018,20,12
C00438713,12232018.0,2700,2018,23,12
C00438713,12042018.0,500,2018,04,12
C00438713,12152018.0,100,2018,15,12
C00438713,12182018.0,10,2018,18,12
C00438713,12062018.0,500,2018,06,12
C00438713,12152018.0,50,2018,15,12
C00438713,12122018.0,250,2018,12,12
C00438713,12062018.0,7,2018,06,12
C00438713,12062018.0,250,2018,06,12
C00438713,12072018.0,2700,2018,07,12
C00438713,12122018.0,5400,2018,12,12
C00438713,12132018.0,500,2018,13,12
C00438713,12132018.0,1000,2018,13,12
C00438713,12132018.0,500,2018,13,12
C00438713,12122018.0,500,2018,12,12
C00438713,12122018.0,2700,2018,12,12
C00438713,12192018.0,700,2018,19,12
C00438713,12212018.0,1000,2018,21,12
C00438713,12132018.0,50,2018,13,12
C00438713,12132018.0,2000,2018,13,12
C00438713,12132018.0,2700,2018,13,12
C00438713,12142018.0,2700,2018,14,12
C00438713,12242018.0,1500,2018,24,12
C00438713,12312018.0,1000,2018,31,12
C00438713,12132018.0,500,2018,13,12
C00438713,12132018.0,500,2018,13,12
C00438713,12132018.0,500,2018,13,12
C00438713,12162018.0,25,2018,16,12
C00438713,12182018.0,500,2018,18,12
C00438713,12122018.0,2700,2018,12,12
C00438713,12132018.0,500,2018,13,12
C00438713,12092018.0,25,2018,09,12
C00438713,12152018.0,250,2018,15,12
C00438713,12152018.0,50,2018,15,12
C00438713,12032018.0,1200,2018,03,12
C00438713,12042018.0,2500,2018,04,12
C00438713,12242018.0,2300,2018,24,12
C00438713,12312018.0,800,2018,31,12
C00438713,12032018.0,2700,2018,03,12
C00438713,12132018.0,500,2018,13,12
C00438713,12132018.0,500,2018,13,12
C00438713,12242018.0,2700,2018,24,12
C00438713,12032018.0,2700,2018,03,12
C00438713,12042018.0,1000,2018,04,12
C00438713,12132018.0,2700,2018,13,12
C00438713,12132018.0,2200,2018,13,12
C00438713,12242018.0,2700,2018,24,12
C00438713,12172018.0,2,2018,17,12
C00438713,12042018.0,1000,2018,04,12
C00438713,12132018.0,500,2018,13,12
C00438713,12132018.0,500,2018,13,12
C00438713,12152018.0,10,2018,15,12
C00438713,12132018.0,300,2018,13,12
C00438713,12032018.0,2700,2018,03,12
C00438713,12042018.0,1000,2018,04,12
C00438713,12202018.0,25,2018,20,12
C00438713,12132018.0,500,2018,13,12
C00438713,12052018.0,500,2018,05,12
C00438713,12152018.0,35,2018,15,12
C00438713,12102018.0,2700,2018,10,12
C00438713,12232018.0,2700,2018,23,12
C00438713,12102018.0,1000,2018,10,12
C00438713,12042018.0,1000,2018,04,12
C00438713,12242018.0,2300,2018,24,12
C00438713,12032018.0,2700,2018,03,12
C00438713,12242018.0,2700,2018,24,12
C00438713,12132018.0,2700,2018,13,12
C00438713,12132018.0,750,2018,13,12
C00438713,12132018.0,250,2018,13,12
C00438713,12142018.0,2700,2018,14,12
C00438713,12032018.0,2700,2018,03,12
C00438713,12132018.0,250,2018,13,12
C00438713,12102018.0,250,2018,10,12
C00438713,12132018.0,2700,2018,13,12
C00438713,12132018.0,750,2018,13,12
C00438713,12242018.0,200,2018,24,12
C00438713,12092018.0,250,2018,09,12
C00438713,12072018.0,2700,2018,07,12
C00438713,12162018.0,2700,2018,16,12
C00438713,12152018.0,100,2018,15,12
C00438713,12302018.0,2700,2018,30,12
C00438713,12042018.0,2700,2018,04,12
C00438713,12222018.0,10,2018,22,12
C00438713,12202018.0,2700,2018,20,12
C00438713,12202018.0,2700,2018,20,12
C00438713,12202018.0,1000,2018,20,12
C00438713,12122018.0,2700,2018,12,12
C00438713,12052018.0,1000,2018,05,12
C00438713,12122018.0,50,2018,12,12
C00438713,12202018.0,2000,2018,20,12
C00438713,12132018.0,1000,2018,13,12
C00438713,12032018.0,1500,2018,03,12
C00438713,12102018.0,250,2018,10,12
C00438713,12132018.0,1000,2018,13,12
C00438713,12132018.0,1700,2018,13,12
C00438713,12212018.0,1000,2018,21,12
C00438713,12242018.0,2500,2018,24,12
C00438713,12042018.0,2300,2018,04,12
C00438713,12062018.0,500,2018,06,12
C00438713,12062018.0,500,2018,06,12
C00438713,12062018.0,1900,2018,06,12
C00438713,12162018.0,15,2018,16,12
C00438713,12102018.0,2700,2018,10,12
C00438713,12192018.0,10,2018,19,12
C00438713,12202018.0,350,2018,20,12
C00438713,12232018.0,1000,2018,23,12
C00438713,12222018.0,500,2018,22,12
C00438713,12162018.0,2700,2018,16,12
C00438713,12052018.0,1000,2018,05,12
C00438713,12092018.0,800,2018,09,12
C00438713,12152018.0,50,2018,15,12
C00438713,12122018.0,1000,2018,12,12
C00438713,12152018.0,15,2018,15,12
C00438713,12192018.0,1300,2018,19,12
C00438713,12242018.0,700,2018,24,12
C00438713,12302018.0,15,2018,30,12
C00438713,12132018.0,400,2018,13,12
C00438713,12132018.0,1000,2018,13,12
C00438713,12132018.0,1000,2018,13,12
C00438713,12212018.0,700,2018,21,12
C00438713,12312018.0,200,2018,31,12
C00438713,12132018.0,400,2018,13,12
C00438713,12132018.0,2700,2018,13,12
C00438713,12132018.0,100,2018,13,12
C00438713,12212018.0,300,2018,21,12
C00438713,12222018.0,500,2018,22,12
C00438713,12242018.0,2000,2018,24,12
C00438713,12102018.0,2000,2018,10,12
C00438713,12102018.0,1000,2018,10,12
C00438713,12172018.0,1000,2018,17,12
C00438713,12192018.0,25,2018,19,12
C00438713,12312018.0,2200,2018,31,12
C00438713,12182018.0,5400,2018,18,12
C00438713,12262018.0,2300,2018,26,12
C00438713,12312018.0,39,2018,31,12
C00532465,12312018.0,1000,2018,31,12
C00532465,12312018.0,1000,2018,31,12
C00532465,12312018.0,1000,2018,31,12
C00532465,12262018.0,350,2018,26,12
C00532465,12312018.0,250,2018,31,12
C00532465,12102018.0,1200,2018,10,12
C00532465,12102018.0,1500,2018,10,12
C00532465,12312018.0,500,2018,31,12
C00532465,12302018.0,2700,2018,30,12
C00532465,12312018.0,700,2018,31,12
C00532465,12312018.0,300,2018,31,12
C00532465,12312018.0,2700,2018,31,12
C00532465,12052018.0,2700,2018,05,12
C00532465,12312018.0,2700,2018,31,12
C00532465,12312018.0,2700,2018,31,12
C00532465,12262018.0,350,2018,26,12
