CMTE_ID,TRANSACTION_DT,TRANSACTION_AMT,Year,Date,Month
C00501197,2082016.0,1000,2016,08,2
C00581272,2072016.0,350,2016,07,2
C00600734,2102016.0,49,2016,10,2
C00350785,2192016.0,1000,2016,19,2
C00350785,2192016.0,300,2016,19,2
C00350785,2232016.0,500,2016,23,2
C00350785,2232016.0,2500,2016,23,2
C00350785,2192016.0,400,2016,19,2
C00350785,2192016.0,300,2016,19,2
C00350785,2192016.0,300,2016,19,2
C00350785,2232016.0,500,2016,23,2
C00350785,2232016.0,1500,2016,23,2
C00350785,2242016.0,2700,2016,24,2
C00350785,2232016.0,1000,2016,23,2
C00350785,2172016.0,1000,2016,17,2
C00350785,2192016.0,1000,2016,19,2
C00350785,2192016.0,500,2016,19,2
C00350785,2242016.0,200,2016,24,2
C00350785,2232016.0,800,2016,23,2
C00350785,2242016.0,300,2016,24,2
C00350785,2232016.0,500,2016,23,2
C00350785,2192016.0,600,2016,19,2
C00350785,2242016.0,250,2016,24,2
C00350785,2192016.0,500,2016,19,2
C00350785,2232016.0,2700,2016,23,2
C00350785,2192016.0,600,2016,19,2
C00350785,2012016.0,2700,2016,01,2
C00350785,2172016.0,1000,2016,17,2
C00350785,2192016.0,250,2016,19,2
C00350785,2082016.0,200,2016,08,2
C00350785,2232016.0,250,2016,23,2
C00350785,2122016.0,2700,2016,12,2
C00350785,2212016.0,200,2016,21,2
C00350785,2112016.0,500,2016,11,2
C00350785,2192016.0,500,2016,19,2
C00350785,2112016.0,250,2016,11,2
C00350785,2122016.0,500,2016,12,2
C00350785,2022016.0,1000,2016,02,2
C00350785,2192016.0,250,2016,19,2
C00350785,2012016.0,200,2016,01,2
C00350785,2112016.0,1000,2016,11,2
C00350785,2192016.0,1000,2016,19,2
C00350785,2172016.0,1000,2016,17,2
C00350785,2162016.0,1000,2016,16,2
C00350785,2222016.0,2600,2016,22,2
C00350785,2192016.0,500,2016,19,2
C00350785,2162016.0,1000,2016,16,2
C00350785,2172016.0,360,2016,17,2
C00350785,2242016.0,500,2016,24,2
C00350785,2222016.0,1000,2016,22,2
C00350785,2242016.0,500,2016,24,2
C00350785,2242016.0,500,2016,24,2
C00350785,2232016.0,1000,2016,23,2
C00350785,2232016.0,250,2016,23,2
C00350785,2242016.0,500,2016,24,2
C00350785,2122016.0,2700,2016,12,2
C00350785,2192016.0,300,2016,19,2
C00350785,2192016.0,800,2016,19,2
C00350785,2192016.0,350,2016,19,2
C00350785,2222016.0,1000,2016,22,2
C00350785,2242016.0,1500,2016,24,2
C00350785,2242016.0,250,2016,24,2
C00350785,2192016.0,1000,2016,19,2
C00350785,2112016.0,1000,2016,11,2
C00350785,2112016.0,500,2016,11,2
C00350785,2242016.0,4200,2016,24,2
C00350785,2242016.0,255,2016,24,2
C00350785,2222016.0,500,2016,22,2
C00350785,2172016.0,1000,2016,17,2
C00350785,2192016.0,2700,2016,19,2
C00350785,2222016.0,2000,2016,22,2
C00350785,2222016.0,1000,2016,22,2
C00350785,2112016.0,1000,2016,11,2
C00350785,2242016.0,800,2016,24,2
C00350785,2232016.0,2700,2016,23,2
C00350785,2192016.0,500,2016,19,2
C00350785,2232016.0,250,2016,23,2
C00350785,2232016.0,250,2016,23,2
C00350785,2232016.0,500,2016,23,2
C00350785,2242016.0,500,2016,24,2
C00350785,2232016.0,500,2016,23,2
C00350785,2082016.0,250,2016,08,2
C00350785,2242016.0,1000,2016,24,2
C00350785,2112016.0,1000,2016,11,2
C00350785,2192016.0,800,2016,19,2
C00350785,2112016.0,500,2016,11,2
C00350785,2232016.0,250,2016,23,2
C00350785,2232016.0,2000,2016,23,2
C00350785,2192016.0,1500,2016,19,2
C00350785,2232016.0,2700,2016,23,2
C00350785,2242016.0,300,2016,24,2
C00350785,2232016.0,500,2016,23,2
