CMTE_ID,TRANSACTION_DT,TRANSACTION_AMT,Year,Date,Month
C00654392,7152018.0,500,2018,15,7
C00654392,7182018.0,100,2018,18,7
C00654392,7242018.0,250,2018,24,7
C00654392,7152018.0,500,2018,15,7
C00654392,7182018.0,100,2018,18,7
C00654392,7242018.0,250,2018,24,7
C00436386,7312018.0,1200,2018,31,7
C00436386,7172018.0,250,2018,17,7
C00436386,7172018.0,400,2018,17,7
C00436386,7172018.0,500,2018,17,7
C00436386,7232018.0,700,2018,23,7
C00436386,7232018.0,300,2018,23,7
C00436386,7232018.0,500,2018,23,7
C00436386,7232018.0,100,2018,23,7
C00436386,7312018.0,500,2018,31,7
C00436386,7312018.0,1000,2018,31,7
C00436386,7312018.0,250,2018,31,7
C00436386,7312018.0,500,2018,31,7
C00436386,7312018.0,1000,2018,31,7
C00436386,7312018.0,750,2018,31,7
C00436386,7312018.0,250,2018,31,7
C00436386,7312018.0,2700,2018,31,7
C00436386,7312018.0,100,2018,31,7
C00436386,7172018.0,2700,2018,17,7
C00436386,7172018.0,1000,2018,17,7
C00436386,7172018.0,500,2018,17,7
C00436386,7172018.0,2700,2018,17,7
C00436386,7172018.0,250,2018,17,7
C00436386,7312018.0,2700,2018,31,7
C00576173,7052018.0,500,2018,05,7
C00653022,7132018.0,250,2018,13,7
C00653022,7012018.0,250,2018,01,7
C00653022,7012018.0,50,2018,01,7
C00653022,7182018.0,1000,2018,18,7
C00666214,7092018.0,2700,2018,09,7
C00666214,7092018.0,2700,2018,09,7
C00666214,7062018.0,2700,2018,06,7
C00666214,7102018.0,2700,2018,10,7
C00666214,7102018.0,25,2018,10,7
C00666214,7102018.0,25,2018,10,7
C00666214,7012018.0,71,2018,01,7
C00666214,7032018.0,52,2018,03,7
C00666214,7042018.0,47,2018,04,7
C00666214,7052018.0,249,2018,05,7
C00666214,7062018.0,2700,2018,06,7
C00666214,7062018.0,47,2018,06,7
C00638791,7112018.0,500,2018,11,7
C00638791,7122018.0,500,2018,12,7
C00638791,7162018.0,500,2018,16,7
C00638791,7172018.0,250,2018,17,7
C00638791,7252018.0,200,2018,25,7
C00638791,7252018.0,200,2018,25,7
C00638791,7312018.0,100,2018,31,7
C00638791,7312018.0,100,2018,31,7
C00638791,7312018.0,500,2018,31,7
C00638791,7312018.0,500,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,300,2018,31,7
C00638791,7312018.0,500,2018,31,7
C00638791,7312018.0,250,2018,31,7
C00638791,7312018.0,500,2018,31,7
C00638791,7312018.0,500,2018,31,7
C00638791,7312018.0,100,2018,31,7
C00638791,7022018.0,500,2018,02,7
C00638791,7022018.0,300,2018,02,7
C00638791,7022018.0,300,2018,02,7
C00638791,7022018.0,250,2018,02,7
C00638791,7022018.0,1000,2018,02,7
C00638791,7022018.0,255,2018,02,7
C00638791,7032018.0,1000,2018,03,7
C00638791,7032018.0,250,2018,03,7
C00638791,7032018.0,2500,2018,03,7
C00638791,7032018.0,2500,2018,03,7
C00638791,7032018.0,500,2018,03,7
C00638791,7052018.0,2700,2018,05,7
C00638791,7052018.0,2700,2018,05,7
C00638791,7052018.0,250,2018,05,7
C00326801,7052018.0,50,2018,05,7
C00326801,7122018.0,5,2018,12,7
C00326801,7192018.0,35,2018,19,7
C00326801,7162018.0,75,2018,16,7
C00326801,7172018.0,500,2018,17,7
C00326801,7102018.0,1000,2018,10,7
C00326801,7012018.0,500,2018,01,7
C00326801,7192018.0,100,2018,19,7
C00326801,7132018.0,35,2018,13,7
C00326801,7162018.0,50,2018,16,7
C00326801,7222018.0,100,2018,22,7
C00326801,7252018.0,37,2018,25,7
C00326801,7222018.0,50,2018,22,7
C00326801,7112018.0,25,2018,11,7
C00326801,7222018.0,15,2018,22,7
C00326801,7092018.0,25,2018,09,7
C00326801,7172018.0,50,2018,17,7
C00326801,7152018.0,25,2018,15,7
C00326801,7232018.0,25,2018,23,7
C00326801,7232018.0,30,2018,23,7
C00326801,7122018.0,150,2018,12,7
