CMTE_ID,TRANSACTION_DT,TRANSACTION_AMT,Year,Date,Month
C00495358,7262016.0,500,2016,26,7
C00573758,7232016.0,1000,2016,23,7
C00600734,7102016.0,59,2016,10,7
C00540732,7312016.0,25,2016,31,7
C00540732,7292016.0,1000,2016,29,7
C00540732,7312016.0,25,2016,31,7
C00540732,7312016.0,100,2016,31,7
C00540732,7252016.0,8,2016,25,7
C00540732,7292016.0,100,2016,29,7
C00540732,7292016.0,250,2016,29,7
C00540732,7272016.0,100,2016,27,7
C00540732,7272016.0,18,2016,27,7
C00540732,7292016.0,500,2016,29,7
C00540732,7292016.0,250,2016,29,7
C00540732,7272016.0,3,2016,27,7
C00540732,7272016.0,50,2016,27,7
C00540732,7312016.0,25,2016,31,7
C00540732,7262016.0,250,2016,26,7
C00540732,7312016.0,25,2016,31,7
C00540732,7292016.0,1000,2016,29,7
C00540732,7312016.0,1000,2016,31,7
C00540732,7302016.0,50,2016,30,7
C00545285,7012016.0,2000,2016,01,7
C00545285,7012016.0,500,2016,01,7
C00545285,7022016.0,100,2016,02,7
C00545285,7012016.0,2700,2016,01,7
C00545285,7012016.0,2700,2016,01,7
C00545285,7022016.0,100,2016,02,7
C00545285,7022016.0,2700,2016,02,7
C00545285,7012016.0,100,2016,01,7
C00545285,7022016.0,40,2016,02,7
C00545285,7012016.0,600,2016,01,7
C00545285,7012016.0,100,2016,01,7
C00545285,7012016.0,100,2016,01,7
C00545285,7012016.0,35,2016,01,7
C00545285,7012016.0,100,2016,01,7
C00545285,7012016.0,1600,2016,01,7
C00545285,7012016.0,2700,2016,01,7
C00545285,7012016.0,700,2016,01,7
C00576173,7132016.0,16,2016,13,7
C00576173,7132016.0,307,2016,13,7
C00576173,7052016.0,324,2016,05,7
C00576173,7052016.0,42,2016,05,7
C00576173,7082016.0,146,2016,08,7
C00576173,7102016.0,63,2016,10,7
C00576173,7122016.0,43,2016,12,7
C00576173,7132016.0,1294,2016,13,7
C00576173,7132016.0,43,2016,13,7
C00576173,7132016.0,43,2016,13,7
C00576173,7082016.0,1500,2016,08,7
C00576173,7122016.0,250,2016,12,7
C00576173,7052016.0,250,2016,05,7
C00576173,7072016.0,500,2016,07,7
C00576173,7072016.0,500,2016,07,7
C00576173,7012016.0,500,2016,01,7
C00576173,7122016.0,250,2016,12,7
C00576173,7112016.0,250,2016,11,7
C00576173,7022016.0,100,2016,02,7
C00576173,7122016.0,250,2016,12,7
C00576173,7082016.0,500,2016,08,7
C00576173,7012016.0,32,2016,01,7
C00576173,7012016.0,1700,2016,01,7
C00576173,7012016.0,156,2016,01,7
C00576173,7012016.0,266,2016,01,7
C00576173,7012016.0,73,2016,01,7
C00576173,7012016.0,323,2016,01,7
C00576173,7012016.0,85,2016,01,7
C00576173,7012016.0,79,2016,01,7
C00576173,7012016.0,44,2016,01,7
C00576173,7012016.0,194,2016,01,7
C00576173,7032016.0,134,2016,03,7
C00576173,7052016.0,111,2016,05,7
C00576173,7062016.0,2300,2016,06,7
C00576173,7052016.0,250,2016,05,7
C00576173,7082016.0,1000,2016,08,7
C00576173,7012016.0,100,2016,01,7
C00576173,7062016.0,-1100,2016,06,7
C00576173,7062016.0,1100,2016,06,7
C00576173,7062016.0,2700,2016,06,7
C00576173,7012016.0,75,2016,01,7
C00576173,7012016.0,289,2016,01,7
C00576173,7012016.0,389,2016,01,7
C00576173,7012016.0,170,2016,01,7
C00563577,7142016.0,500,2016,14,7
C00586362,7082016.0,250,2016,08,7
C00586362,7082016.0,55,2016,08,7
C00586362,7082016.0,55,2016,08,7
C00586362,7082016.0,500,2016,08,7
C00586362,7082016.0,250,2016,08,7
C00586362,7122016.0,10,2016,12,7
C00586362,7122016.0,100,2016,12,7
C00586362,7132016.0,1000,2016,13,7
C00586362,7132016.0,250,2016,13,7
C00586362,7132016.0,25,2016,13,7
C00586362,7132016.0,1000,2016,13,7
C00586362,7132016.0,500,2016,13,7
C00586362,7132016.0,250,2016,13,7
C00586362,7012016.0,100,2016,01,7
C00586362,7022016.0,100,2016,02,7
C00586362,7062016.0,1000,2016,06,7
C00586362,7072016.0,100,2016,07,7
C00586362,7072016.0,100,2016,07,7
C00586362,7082016.0,100,2016,08,7
C00586362,7082016.0,100,2016,08,7
C00586362,7082016.0,500,2016,08,7
C00586362,7082016.0,50,2016,08,7
C00586362,7082016.0,100,2016,08,7
C00586362,7082016.0,200,2016,08,7
C00586362,7082016.0,250,2016,08,7
C00586362,7082016.0,100,2016,08,7
C00586362,7082016.0,200,2016,08,7
C00586362,7082016.0,500,2016,08,7
C00586362,7082016.0,250,2016,08,7
C00586362,7082016.0,100,2016,08,7
C00618082,7172016.0,250,2016,17,7
C00618082,7242016.0,50,2016,24,7
C00618082,7292016.0,43,2016,29,7
C00618082,7222016.0,500,2016,22,7
C00501197,7022016.0,35,2016,02,7
C00501197,7152016.0,100,2016,15,7
C00501197,7292016.0,15,2016,29,7
C00501197,7132016.0,500,2016,13,7
C00501197,7222016.0,2700,2016,22,7
C00501197,7282016.0,35,2016,28,7
C00501197,7072016.0,500,2016,07,7
C00501197,7242016.0,25,2016,24,7
C00501197,7182016.0,35,2016,18,7
